horizon,mape,mse,mae
1,41.46881046751339,0.0006103751579258242,0.005801759701524697
2,161.41865475252413,0.0007019257414455455,0.0070416180282271415
3,200.35287195779676,0.0008205727791530772,0.008259345380102591
5,185.39349951844187,0.0011110726763276597,0.01072151347185507
7,192.80778491946603,0.0017837135436379573,0.013427284197579385
10,220.1631440505817,0.0031398328233276673,0.01752200170343305
