horizon,naive,gbm,moving_average,arima_v3,arima_statsmodels,nbeats,tft
1,0.009803,0.013026,0.028363,0.000873,0.008721,0.001597,0.003427
2,0.014555,0.015701,0.030982,0.001665,0.012167,0.002603,0.003888
3,0.019193,0.019122,0.033891,0.002732,0.0163,0.003702,0.004679
5,0.028166,0.02624,0.040739,0.005213,0.022024,0.006295,0.007334
7,0.036659,0.035736,0.04854,0.008618,0.027102,0.010052,0.013611
10,0.048521,0.047399,0.059258,0.014546,0.038004,0.016775,0.020987
