horizon,mase,mse,mae
1,0.10099624219981282,3.59284497775141e-06,0.0004312563743998146
2,0.13726126623653545,1.3900110965744417e-05,0.0008767077212434594
3,0.1639165143272737,2.6001092822756463e-05,0.0013922302597015816
5,0.2272075326393834,0.00011156821613604637,0.0028611687041773357
7,0.27400355910189694,0.00025405931884750065,0.00452476471060785
10,0.3289719114146767,0.0004533682767735029,0.007293815245133706
