horizon,mase,mse,mae
1,0.09720473283551173,3.351194617125757e-06,0.00041506653855704636
2,0.1337860235084125,1.3568821355873834e-05,0.0008545108392207463
3,0.1620272256467807,2.642037113995888e-05,0.0013761835246847403
5,0.2252522067180689,0.0001107204043505117,0.0028365457646667377
7,0.27353246166620543,0.00026040739378353057,0.004516985231176044
10,0.32884059582047037,0.00045407595158517266,0.00729090377564433
