horizon,mase,mse,mae,naive_mae
1,1.0,7.826269324205215e-05,0.0042700239633333345,0.0042700239633333345
2,1.0,0.0001930848985290947,0.006387145808,0.006387145808
3,1.0,0.00038142779160082774,0.008493532609666664,0.008493532609666664
5,1.0,0.0009620809407490557,0.012592754610466666,0.012592754610466666
7,1.0,0.0017472821667627804,0.016513525318571427,0.016513525318571427
10,1.0,0.0032916299146073425,0.022171544110766668,0.022171544110766668
