horizon,mase,mse,mae
1,0.08091944172259607,2.1473688307550348e-06,0.00034552795525503766
2,0.10716906615438182,7.776934072233004e-06,0.0006845044516352345
3,0.13447583194317064,1.7967021018461798e-05,0.0011421748638213653
5,0.18975534575455735,8.431218408262798e-05,0.002389542505111386
7,0.22430514431797535,0.00013030026896153858,0.003704068679780698
10,0.28609385366826107,0.000340836132866487,0.006343142496425054
