step,naive,arima_v3,arima_statsmodels,polynomial,exponential
1,4.013139518,4.017156669813522,4.013139531113849,4.017569455446631,4.012515626409018
2,4.013139518,4.021173821166642,4.0131395376204795,4.022336399842231,4.017166235266366
3,4.013139518,4.025190972519797,4.0131395376204955,4.028476329728204,4.018848038949111
4,4.013139518,4.0292081238729525,4.013139537620501,4.02871736837547,4.022558737882453
5,4.013139518,4.0332252752261075,4.013139537620501,4.031539896004282,4.026062353422544
6,4.013139518,4.037242426579263,4.013139537620501,4.03506360153161,4.02993841736494
7,4.013139518,4.041259577932418,4.013139537620501,4.039101183570899,4.0317232238693945
8,4.013139518,4.045276729285573,4.013139537620501,4.045058694835288,4.036248689745017
9,4.013139518,4.049293880638728,4.013139537620501,4.050317384026383,4.038900758085744
10,4.013139518,4.053311031991883,4.013139537620501,4.054186057936542,4.041636003742954
11,4.013139518,4.057328183345038,4.013139537620501,4.060071697974823,4.045591511212064
12,4.013139518,4.061345334698193,4.013139537620501,4.061390438082154,4.048696277690299
13,4.013139518,4.065362486051348,4.013139537620501,4.070603346556663,4.051535516802207
14,4.013139518,4.069379637404503,4.013139537620501,4.0683894564198715,4.055111994783473
15,4.013139518,4.073396788757658,4.013139537620501,4.083932038200805,4.058128498617539
16,4.013139518,4.077413940110813,4.013073636054149,4.079916694416357,4.0616245710129295
17,4.013139518,4.081431091463968,4.013180769825603,4.077897030588699,4.065148131927435
18,4.013139518,4.085448242817123,4.013624138039025,4.080904926354838,4.068861928651519
19,4.013139518,4.089465394170278,4.013468656973543,4.091568543647518,4.070704467630227
20,4.013139518,4.093482545523433,4.013226108892675,4.092483295898092,4.075646950767273
21,4.013139518,4.097470870509724,4.013075581779599,4.1007717698746315,4.076864054527446
22,4.013139518,4.101066906910729,4.01335020241491,4.103736646486667,4.0810264779584315
23,4.013139518,4.104982616360338,4.0134488277478075,4.105184846789846,4.084661411005595
24,4.013139518,4.109264159165488,4.0132898996866775,4.10540285364314,4.087775242138142
25,4.013139518,4.1125967097975344,4.013443879916611,4.1059941992852655,4.090593504241329
26,4.013139518,4.1158602760920795,4.013473003181415,4.115308803667966,4.09407351675926
27,4.013139518,4.119962904577393,4.013763596678575,4.126052727505305,4.097206419479417
28,4.013139518,4.123593383577978,4.013552980750411,4.126752783158279,4.100436199904231
29,4.013139518,4.126540472788299,4.013454682106432,4.122928553635025,4.104436268037039
30,4.013139518,4.1299299426853135,4.0133370496604925,4.134602769977147,4.107473183905102
31,4.013139518,4.132754059916626,4.012897995176053,4.139816732072874,4.110234057105419
32,4.013139518,4.135515904596004,4.012986831259172,4.136688679721139,4.114318776250288
33,4.013139518,4.1385717010968275,4.013065147840826,4.146588772634668,4.117313721254059
34,4.013139518,4.140491180032238,4.0130666818778185,4.150062258089237,4.1208602306102335
35,4.013139518,4.142447317792566,4.012996305737806,4.146978099100081,4.124064977011417
36,4.013139518,4.144928398770999,4.012571694515191,4.159903883454232,4.126634665215067
37,4.013139518,4.147128963459023,4.012445500918361,4.165185435117829,4.130070711530606
38,4.013139518,4.149938927768549,4.012342686563403,4.172467848984493,4.134028729494905
39,4.013139518,4.152084699561152,4.012102003382636,4.176389621163402,4.1372671918912145
40,4.013139518,4.153926335864241,4.012053617669136,4.165112640050304,4.140261125566921
41,4.013139518,4.157155992639383,4.01217483292618,4.171837932661618,4.143642457316649
42,4.013139518,4.159490000232006,4.012740688696543,4.1851979096473135,4.147537493107788
43,4.013139518,4.161921722162361,4.012793062040393,4.189246376143325,4.1499203938940035
44,4.013139518,4.163559346740704,4.01287032715761,4.193310852931115,4.153809901222678
45,4.013139518,4.165590154076462,4.01284799338288,4.219756478345405,4.1567580852879
46,4.013139518,4.167902554095377,4.01227236201829,4.20180069436448,4.160075828357795
47,4.013139518,4.169538857256246,4.012264407855656,4.20973092907042,4.16406220512057
48,4.013139518,4.171894270216006,4.012282476918639,4.212572558094056,4.167256335122425
49,4.013139518,4.173718163542622,4.013021449552384,4.21453993548369,4.170583856667489
50,4.013139518,4.175654045085871,4.01296374126295,4.211768063247459,4.174165982934546
51,4.013139518,4.177393285629537,4.01305420546565,4.223434634554425,4.176862556046609
52,4.013139518,4.180318716694578,4.013043791934739,4.216458745043071,4.18053451225474
53,4.013139518,4.182271274215539,4.012693188523453,4.224324758171131,4.183382557219411
54,4.013139518,4.183662538761725,4.013036035367808,4.226499301289962,4.187046603926429
55,4.013139518,4.185955528828226,4.013261615277614,4.234690331988858,4.190168956839601
56,4.013139518,4.187189190261482,4.013498924861727,4.25542161250312,4.193634713571974
57,4.013139518,4.189100823652061,4.013226108625289,4.2280199075405465,4.197238663074668
58,4.013139518,4.1898920461513365,4.01364694691857,4.251361009229524,4.199889527087982
59,4.013139518,4.190963589536878,4.013226391599732,4.237764258408962,4.2047050699773845
60,4.013139518,4.192762943836604,4.013402448727872,4.250513352290144,4.206518794749864
61,4.013139518,4.1947990823347565,4.014059585415615,4.26669105358959,4.209780326576971
62,4.013139518,4.196518333579344,4.013762424518076,4.262709375658698,4.2143347862568215
63,4.013139518,4.198061405200062,4.013592535199195,4.2576660570449905,4.217522566751709
64,4.013139518,4.199479731198942,4.013622430608722,4.2645151180896415,4.220812496701576
65,4.013139518,4.200277970493498,4.013471387912487,4.27973379672267,4.224191009897117
66,4.013139518,4.201424798673246,4.013006188883168,4.272338334682674,4.227249815225775
67,4.013139518,4.202671094566033,4.013026757775609,4.284060807907795,4.230189116177344
68,4.013139518,4.204646738651844,4.012708066661491,4.286681969754616,4.2340601558368745
69,4.013139518,4.2062366891098755,4.012850144390682,4.284910732483991,4.237070890504868
70,4.013139518,4.2067449475191765,4.012574317120412,4.312278011412703,4.241286958804421
71,4.013139518,4.208268972421116,4.0130392974419165,4.303699141598514,4.2441185097661105
72,4.013139518,4.209411174539806,4.012804321454215,4.285190897048715,4.24717464348923
73,4.013139518,4.210380761933373,4.012707702999354,4.30798502483098,4.250824769080469
74,4.013139518,4.211968487503639,4.012951758164564,4.304716212788539,4.254592716098036
75,4.013139518,4.213740236942215,4.012582498869634,4.321808561194749,4.257507897094792
76,4.013139518,4.215437001685555,4.012650736850015,4.311534393096135,4.260784880980907
77,4.013139518,4.21622389511405,4.013042879676299,4.3214537772780695,4.264726791577379
78,4.013139518,4.217251661072428,4.012560634705931,4.330937669105878,4.268139115215564
79,4.013139518,4.218576017491508,4.01261602486349,4.338189899453218,4.271177573647868
80,4.013139518,4.22019934026438,4.012693989701765,4.3237762782853215,4.274612670918932
81,4.013139518,4.221072592350581,4.012928536563297,4.335518701353784,4.278384093592477
82,4.013139518,4.222070345283272,4.012557451350034,4.33824555651871,4.280966640907948
83,4.013139518,4.22258594856887,4.012161314366109,4.340611413407361,4.284412303737971
84,4.013139518,4.22303524061398,4.012317896835794,4.366761338126128,4.288184906343033
85,4.013139518,4.224467950975183,4.012406992237764,4.358331586387281,4.291868240180566
86,4.013139518,4.226151989490474,4.012482140092868,4.346922039496526,4.295563997510225
87,4.013139518,4.22710178456067,4.012586074555718,4.371193399312884,4.299582548670883
88,4.013139518,4.2285696351379825,4.012382067139244,4.3865568995157656,4.302712776270458
89,4.013139518,4.229697215596305,4.012451743248392,4.380406724320418,4.305645804351043
90,4.013139518,4.230302482915886,4.012539664990382,4.360269614190673,4.309160846130966
91,4.013139518,4.231392451371586,4.012325359564974,4.374081481406727,4.312116425835986
92,4.013139518,4.233052554894705,4.012885091918317,4.394869721669309,4.3160585281027215
93,4.013139518,4.2339079054102395,4.013027241794591,4.3799105763982755,4.3193763095789945
94,4.013139518,4.235546025502533,4.0126698507454295,4.395055239346594,4.323137614689743
95,4.013139518,4.235074835249588,4.012866816828019,4.402319605917652,4.326021020942124
96,4.013139518,4.236307695154893,4.012574412326951,4.389704537141623,4.330155457380152
97,4.013139518,4.237156689169066,4.012810537708074,4.402217463869371,4.334126070206831
98,4.013139518,4.2377965465642875,4.013158116381776,4.374733967781935,4.336772008436701
99,4.013139518,4.2386160008016,4.01291191168627,4.400645505831674,4.340496705482787
100,4.013139518,4.238380318716364,4.0132009245250435,4.412329509424102,4.34411315829729
