step,naive,arima_v3,arima_statsmodels,gbm,exponential
1,4.013139518,4.017653383966533,4.013139531113849,3.970029063516886,4.013139518
2,4.013139518,4.021978609047982,4.013129531113849,3.972023518826226,4.019956580149841
3,4.013139518,4.027472115413672,4.013119531113849,3.9721740847644975,4.032000322607269
4,4.013139518,4.034350967888778,4.013109531113849,3.9712205312036155,4.0409980107662165
5,4.013139518,4.039992368893984,4.013099531113848,3.9725377480979467,4.001662783606535
6,4.013139518,4.046468014469563,4.013089531113849,3.9738086528592724,4.009799761138765
7,4.013139518,4.056593556695488,4.013079531113848,3.977182001924659,4.052729690540039
8,4.013139518,4.0687975008214785,4.013069531113849,3.973959732224442,4.059298419438229
9,4.013139518,4.079780412472558,4.013059531113849,3.9738588550315264,4.065959134519701
10,4.013139518,4.091279494562936,4.0130495311138485,3.9729629923302894,4.222775501373987
11,4.013139518,4.106220012905634,4.012607701798971,3.968633141820181,4.081996512413478
12,4.013139518,4.125352648778144,4.0125977017989705,3.971832677743405,4.11996154907563
13,4.013139518,4.149408978199691,4.012587701798971,3.9728291799201,4.118803050114155
14,4.013139518,4.176458760525592,4.01257770179897,3.9783983638452507,4.107964938583744
15,4.013139518,4.2060353928818515,4.012567701798971,3.9731948897991893,4.0476212846312905
16,4.013139518,4.244822323073153,4.012557701798971,3.974223923444705,4.130682513424866
17,4.013139518,4.296625547272474,4.012547701798971,3.9731785204669086,4.016007564546753
18,4.013139518,4.365073711558847,4.012537701798971,3.9702691070202834,4.061781833718567
19,4.013139518,4.4525132041810425,4.0125277017989704,3.974641050799096,4.04231060740214
20,4.013139518,4.5613715403035355,4.012517701798971,3.974924422102303,4.097857363275167
21,4.013139518,4.709074092970279,4.012264048633284,3.974859261383315,4.325635256020849
22,4.013139518,4.911239708643749,4.0122540486332845,3.9708825973521598,3.902200723530717
23,4.013139518,5.183688071922488,4.012244048633285,3.9763727267883806,4.177850453262799
24,4.013139518,5.546053745769624,4.012234048633284,3.9696346534152456,3.9210018689671147
25,4.013139518,6.025310578079618,4.012224048633285,3.973667406884955,4.053938834453346
26,4.013139518,6.669435279699907,4.012214048633284,3.9781939047832844,4.250800053627346
27,4.013139518,7.531446497660482,4.012204048633285,3.9712845094206153,4.1271523127178416
28,4.013139518,8.676849825309688,4.012194048633284,3.9707987989740503,3.9774191611252108
29,4.013139518,10.19154578268164,4.0121840486332845,3.973273848067687,4.026895101555417
30,4.013139518,12.186044000363573,4.012174048633285,3.9715250603384336,4.229706332068191
31,4.013139518,14.861972776953111,4.011836453339491,3.9680078919018342,4.025740828373565
32,4.013139518,18.49259310543524,4.011826453339491,3.972643280182356,4.172982200339472
33,4.013139518,23.413019058872823,4.011816453339491,3.9702928258778556,4.15086204445783
34,4.013139518,30.074335982676214,4.011806453339491,3.9737603504699726,4.040200063268332
35,4.013139518,39.09106448482676,4.011796453339492,3.970688576696908,4.516332329929221
36,4.013139518,51.47166416062004,4.011786453339491,3.977393130871144,4.266949525484311
37,4.013139518,68.6252661349008,4.0117764533394915,3.9713300299119982,3.7956440446768682
38,4.013139518,92.38950007484858,4.011766453339491,3.9721204243280765,4.198823928217855
