step,naive,arima_v3,arima_statsmodels,gbm
1,4.013139518,4.0171566859086205,4.0171566749399865,3.9728730631896934
2,4.013139518,4.021173854878235,4.021173831906744,3.972831736850616
3,4.013139518,4.025191023848641,4.025190988860584,3.972831736850616
4,4.013139518,4.0292081928190475,4.02920814581966,3.972831736850616
5,4.013139518,4.033225361789454,4.033225302775669,3.972831736850616
6,4.013139518,4.037242530759861,4.037242459732409,3.9728348141852807
7,4.013139518,4.041259699730268,4.041259616688142,3.9728348141852807
8,4.013139518,4.045276868700674,4.045276773643663,3.9728348141852807
9,4.013139518,4.049294037671081,4.049293930598609,3.9728348141852807
10,4.013139518,4.053311206641488,4.053311087553146,3.9728348141852807
11,4.013139518,4.0573283756118945,4.057328244507198,3.9728348141852807
12,4.013139518,4.061345544582301,4.061345401460799,3.9728348141852807
13,4.013139518,4.065362713552708,4.065362558413934,3.9728348141852807
14,4.013139518,4.069379882523115,4.06937971536661,3.9728348141852807
15,4.013139518,4.073397051493521,4.073396872318824,3.9728348141852807
16,4.013139518,4.077414220463928,4.077414029270577,3.9728348141852807
17,4.013139518,4.081431389434335,4.081431186221868,3.972881550446595
18,4.013139518,4.0854485584047415,4.085448343172699,3.9728348141852807
19,4.013139518,4.089465727375148,4.089465500123068,3.9728348141852807
20,4.013139518,4.093482896345555,4.093482657072975,3.9728348141852807
21,4.013139518,4.097500065315962,4.097499814022422,3.972831736850616
22,4.013139518,4.101517234286368,4.101516970971407,3.972831736850616
23,4.013139518,4.105534403256775,4.105534127919931,3.9728348141852807
24,4.013139518,4.109551572227182,4.109551284867994,3.9728348141852807
25,4.013139518,4.1135687411975885,4.113568441815595,3.9728348141852807
26,4.013139518,4.117585910167995,4.1175855987627346,3.9728348141852807
27,4.013139518,4.121603079138402,4.1216027557094135,3.9728348141852807
28,4.013139518,4.125620248108809,4.1256199126556306,3.9728348141852807
29,4.013139518,4.129637417079215,4.129637069601387,3.9728348141852807
30,4.013139518,4.133654586049622,4.133654226546682,3.9728348141852807
31,4.013139518,4.137671755020029,4.137671383491515,3.9728348141852807
32,4.013139518,4.1416889239904355,4.141688540435887,3.9728348141852807
33,4.013139518,4.145706092960842,4.145705697379799,3.9728348141852807
34,4.013139518,4.149723261931249,4.149722854323248,3.972881550446595
35,4.013139518,4.153740430901656,4.153740011266237,3.972831736850616
36,4.013139518,4.157757599872062,4.157757168208764,3.972831736850616
37,4.013139518,4.161774768842469,4.16177432515083,3.972831736850616
38,4.013139518,4.165791937812876,4.165791482092435,3.972831736850616
39,4.013139518,4.1698091067832825,4.169808639033579,3.972831736850616
40,4.013139518,4.173826275753689,4.173825795974261,3.9728348141852807
41,4.013139518,4.177843444724096,4.177842952914482,3.9728348141852807
42,4.013139518,4.181860613694503,4.181860109854242,3.9728348141852807
43,4.013139518,4.185877782664909,4.18587726679354,3.9728348141852807
44,4.013139518,4.189894951635316,4.189894423732377,3.9728348141852807
45,4.013139518,4.193912120605723,4.193911580670752,3.9728348141852807
46,4.013139518,4.1979292895761295,4.197928737608667,3.9728348141852807
47,4.013139518,4.201946458546536,4.20194589454612,3.9728348141852807
48,4.013139518,4.205963627516943,4.205963051483112,3.9728348141852807
49,4.013139518,4.20998079648735,4.209980208419642,3.9728348141852807
50,4.013139518,4.213997965457756,4.213997365355712,3.9728348141852807
51,4.013139518,4.218015134428163,4.21801452229132,3.972881550446595
52,4.013139518,4.22203230339857,4.2220316792264665,3.972831736850616
53,4.013139518,4.2260494723689765,4.226048836161152,3.972831736850616
54,4.013139518,4.230066641339383,4.230065993095376,3.972831736850616
55,4.013139518,4.23408381030979,4.234083150029139,3.972831736850616
56,4.013139518,4.238100979280197,4.238100306962441,3.972831736850616
57,4.013139518,4.242118148250603,4.242117463895282,3.9728348141852807
58,4.013139518,4.24613531722101,4.246134620827661,3.9728348141852807
59,4.013139518,4.250152486191417,4.250151777759579,3.9728348141852807
60,4.013139518,4.2541696551618235,4.254168934691036,3.9728348141852807
61,4.013139518,4.25818682413223,4.258186091622031,3.9728348141852807
62,4.013139518,4.262203993102637,4.262203248552566,3.9728348141852807
63,4.013139518,4.266221162073044,4.266220405482638,3.9728348141852807
64,4.013139518,4.27023833104345,4.27023756241225,3.9728348141852807
65,4.013139518,4.274255500013857,4.274254719341401,3.9728348141852807
66,4.013139518,4.278272668984264,4.2782718762700895,3.9728348141852807
67,4.013139518,4.2822898379546706,4.282289033198317,3.9728348141852807
68,4.013139518,4.286307006925077,4.2863061901260835,3.972881550446595
69,4.013139518,4.290324175895484,4.290323347053389,3.972831736850616
70,4.013139518,4.294341344865891,4.294340503980233,3.972831736850616
71,4.013139518,4.298358513836297,4.298357660906615,3.972831736850616
72,4.013139518,4.302375682806704,4.302374817832536,3.972831736850616
73,4.013139518,4.306392851777111,4.306391974757997,3.972831736850616
74,4.013139518,4.310410020747518,4.310409131682995,3.9728348141852807
75,4.013139518,4.314427189717924,4.314426288607533,3.9728348141852807
76,4.013139518,4.318444358688331,4.318443445531609,3.9728348141852807
77,4.013139518,4.322461527658738,4.322460602455224,3.9728348141852807
78,4.013139518,4.326478696629144,4.326477759378378,3.9728348141852807
79,4.013139518,4.330495865599551,4.33049491630107,3.9728348141852807
80,4.013139518,4.334513034569958,4.334512073223301,3.9728348141852807
81,4.013139518,4.338530203540365,4.338529230145071,3.9728348141852807
82,4.013139518,4.342547372510771,4.34254638706638,3.9728348141852807
83,4.013139518,4.346564541481178,4.346563543987227,3.9728348141852807
84,4.013139518,4.350581710451585,4.350580700907614,3.9728348141852807
85,4.013139518,4.354598879421991,4.354597857827539,3.972881550446595
86,4.013139518,4.358616048392398,4.358615014747002,3.972831736850616
87,4.013139518,4.362633217362805,4.362632171666005,3.972831736850616
88,4.013139518,4.366650386333212,4.366649328584545,3.972831736850616
89,4.013139518,4.370667555303618,4.370666485502625,3.972831736850616
90,4.013139518,4.374684724274025,4.374683642420243,3.972831736850616
91,4.013139518,4.378701893244432,4.3787007993374,3.9728348141852807
92,4.013139518,4.382719062214838,4.382717956254096,3.9728348141852807
93,4.013139518,4.386736231185245,4.386735113170331,3.9728348141852807
94,4.013139518,4.390753400155652,4.390752270086104,3.9728348141852807
95,4.013139518,4.394770569126059,4.394769427001416,3.9728348141852807
96,4.013139518,4.398787738096465,4.398786583916267,3.9728348141852807
97,4.013139518,4.402804907066872,4.402803740830656,3.9728348141852807
98,4.013139518,4.406822076037279,4.406820897744584,3.9728348141852807
99,4.013139518,4.410839245007685,4.4108380546580515,3.9728348141852807
100,4.013139518,4.414856413978092,4.414855211571057,3.9728348141852807
