column,model,forecast_type,mae,mape,seed_size,forecast_length
1,tft,recursive,0.07269717349826389,50.69220781889903,50,576
1,nbeats,recursive,0.07340835706761566,51.99245837789298,64,562
2,tft,recursive,0.24800317236631944,66.26033616376867,50,576
2,nbeats,recursive,0.24982251584697507,66.6017519513042,64,562
3,tft,recursive,0.10184497683854167,3146.460015591496,50,576
3,nbeats,recursive,0.11197987388434164,6492.917187911941,64,562
4,tft,recursive,0.8821373729079861,85.25369153004846,50,576
4,nbeats,recursive,0.905233671786477,87.42855485145255,64,562
5,tft,recursive,0.09187475377083333,329.40458463132404,50,576
5,nbeats,recursive,0.09403608953736654,341.39296281923396,64,562
6,tft,recursive,0.2986602993072917,66.92355017534857,50,576
6,nbeats,recursive,0.30429736172064054,68.45739719663374,64,562
7,tft,recursive,0.2534469295503472,98.02092492544628,50,576
7,nbeats,recursive,0.2599824819074733,99.1702825496721,64,562
8,tft,recursive,0.18396969946527778,139.1850827564685,50,576
8,nbeats,recursive,0.1908695905871886,158.86514121822503,64,562
9,tft,recursive,0.15652738091493057,447.2614117734043,50,576
9,nbeats,recursive,0.1558103533914591,125.25113204376765,64,562
10,tft,recursive,0.19457129349652777,300.7276357285681,50,576
10,nbeats,recursive,0.21527897838434162,367.5586352724919,64,562
11,tft,recursive,0.23368475768229166,68.65963923326424,50,576
11,nbeats,recursive,0.23999349884163704,70.55894212129033,64,562
12,tft,recursive,0.28424014301041667,219.82792547523889,50,576
12,nbeats,recursive,0.28459185440925266,150.43989474123867,64,562
13,tft,recursive,0.08066912604340278,243.34892824699625,50,576
13,nbeats,recursive,0.08353189260676155,147.85797752656586,64,562
14,tft,recursive,0.19445630786805557,197.11076081348818,50,576
14,nbeats,recursive,0.20493778007829183,216.88540133073133,64,562
15,tft,recursive,0.14674288539930552,89.65765615499787,50,576
15,nbeats,recursive,0.1382987832419929,96.58331568689884,64,562
16,tft,recursive,0.37258700669791667,77.96142684003996,50,576
16,nbeats,recursive,0.37311183678825627,75.76975962671808,64,562
17,tft,recursive,0.10464811538888891,723.5755823363259,50,576
17,nbeats,recursive,0.10575039387544485,666.9205068283306,64,562
18,tft,recursive,0.21662204514930553,2271.2889374315396,50,576
18,nbeats,recursive,0.22504718176690391,2403.9970594126385,64,562
19,tft,recursive,0.24189607778645833,119.3503570145536,50,576
19,nbeats,recursive,0.23727870970106765,129.69637182684647,64,562
20,tft,recursive,0.05133490403645834,563.3907424828619,50,576
20,nbeats,recursive,0.04698652719928827,463.9508367418654,64,562
21,tft,recursive,0.49606224306076385,86.13174617502604,50,576
21,nbeats,recursive,0.5102020356352313,86.65985887240706,64,562
22,tft,recursive,0.13526409958854166,94.09104711029778,50,576
22,nbeats,recursive,0.1217435993291815,102.39881716100419,64,562
23,tft,recursive,0.07581172456770832,143.13445455627874,50,576
23,nbeats,recursive,0.07714039183985766,105.20059712136676,64,562
24,tft,recursive,0.5362053553211806,117.14972327199972,50,576
24,nbeats,recursive,0.5217305644430604,93.48195593031858,64,562
25,tft,recursive,0.2566757354965278,205.80309142624515,50,576
25,nbeats,recursive,0.2569734357010676,109.99607523322437,64,562
26,tft,recursive,0.05111345746701389,62.90780238999183,50,576
26,nbeats,recursive,0.0651552815213523,70.27897233318781,64,562
27,tft,recursive,0.7830514141267363,359.2413220499943,50,576
27,nbeats,recursive,0.8228995073362989,391.3552707955851,64,562
28,tft,recursive,0.06431379022048611,543.8166118591577,50,576
28,nbeats,recursive,0.043265882822064054,359.49240502916484,64,562
29,tft,recursive,0.25542641895138885,657.0332724970347,50,576
29,nbeats,recursive,0.25075837238967974,574.3585611692296,64,562
30,tft,recursive,0.04060869413020834,611.5208461025965,50,576
30,nbeats,recursive,0.04036052609430605,731.596390015275,64,562
31,tft,recursive,0.1679031327326389,335.5247513669577,50,576
31,nbeats,recursive,0.15397188501245554,264.52064828425193,64,562
32,tft,recursive,0.21194716176909723,275.3850385780935,50,576
32,nbeats,recursive,0.2151558646192171,339.795554158825,64,562
33,tft,recursive,0.2521485454982639,137.76885324328293,50,576
33,nbeats,recursive,0.2761596951530249,218.98786445706523,64,562
34,tft,recursive,0.7984806759496528,393.9255101642084,50,576
34,nbeats,recursive,0.9139145686565836,728.8686292007561,64,562
35,tft,recursive,0.10802522350173611,86.85680299874838,50,576
35,nbeats,recursive,0.09776351152491104,78.82383372007187,64,562
36,tft,recursive,0.2046980344652778,126.5413942375889,50,576
36,nbeats,recursive,0.2270110611672598,157.37854665103455,64,562
37,tft,recursive,0.9922884273767362,3702.8227568770217,50,576
37,nbeats,recursive,1.0268204230533808,5785.67729669022,64,562
38,tft,recursive,0.13432554033506944,39873.53808049477,50,576
38,nbeats,recursive,0.1518236658078292,46869.014246173436,64,562
39,tft,recursive,0.21599741848437498,1680.951741854799,50,576
39,nbeats,recursive,0.2173041007544484,1641.704325861436,64,562
40,tft,recursive,0.10639364827430556,107.33587317730294,50,576
40,nbeats,recursive,0.12637769055516015,142.77276942386385,64,562
2,tft,extrapolation,,,50,50
2,nbeats,extrapolation,,,64,50
