model,step,value,is_extrapolated
gbm,0,0.591055026,False
gbm,1,0.592180082,False
gbm,2,0.593497597,False
gbm,3,0.594909388,False
gbm,4,0.596303427,False
gbm,5,0.597565403,False
gbm,6,0.598580112,False
gbm,7,0.599229134,False
gbm,8,0.599394204,False
gbm,9,0.598966677,False
gbm,10,0.597856905,False
gbm,11,0.595997581,False
gbm,12,0.593339909,False
gbm,13,0.589846366,False
gbm,14,0.585481612,False
gbm,15,0.580204615,False
gbm,16,0.573958502,False
gbm,17,0.566649574,False
gbm,18,0.55810838,False
gbm,19,0.548099365,False
gbm,20,0.536645633,False
gbm,21,0.524056291,False
gbm,22,0.510633319,False
gbm,23,0.496483482,False
gbm,24,0.481510943,False
gbm,25,0.465426673,False
gbm,26,0.447928949,False
gbm,27,0.429029247,False
gbm,28,0.408988015,False
gbm,29,0.388033478,False
gbm,30,0.366281641,False
gbm,31,0.343798706,False
gbm,32,0.320629708,False
gbm,33,0.296820426,False
gbm,34,0.27242371,False
gbm,35,0.247496865,False
gbm,36,0.222096462,False
gbm,37,0.196274999,False
gbm,38,0.170079805,False
gbm,39,0.143553321,False
gbm,40,0.116734265,False
gbm,41,0.089659362,False
gbm,42,0.062365008,False
gbm,43,0.034887985,False
gbm,44,0.007265815,False
gbm,45,-0.020462642,False
gbm,46,-0.048256584,False
gbm,47,-0.076072651,False
gbm,48,-0.1038644,False
gbm,49,-0.131582932,False
gbm,50,-0.131582932,True
gbm,51,-0.131582932,True
gbm,52,-0.131582932,True
gbm,53,-0.131582932,True
gbm,54,-0.131582932,True
gbm,55,-0.131582932,True
gbm,56,-0.131582932,True
gbm,57,-0.131582932,True
gbm,58,-0.131582932,True
gbm,59,-0.131582932,True
gbm,60,-0.131582932,True
gbm,61,-0.131582932,True
gbm,62,-0.131582932,True
gbm,63,-0.131582932,True
gbm,64,-0.131582932,True
gbm,65,-0.131582932,True
gbm,66,-0.131582932,True
gbm,67,-0.131582932,True
gbm,68,-0.131582932,True
gbm,69,-0.131582932,True
gbm,70,-0.131582932,True
gbm,71,-0.131582932,True
gbm,72,-0.131582932,True
gbm,73,-0.131582932,True
gbm,74,-0.131582932,True
gbm,75,-0.131582932,True
gbm,76,-0.131582932,True
gbm,77,-0.131582932,True
gbm,78,-0.131582932,True
gbm,79,-0.131582932,True
gbm,80,-0.131582932,True
gbm,81,-0.131582932,True
gbm,82,-0.131582932,True
gbm,83,-0.131582932,True
gbm,84,-0.131582932,True
gbm,85,-0.131582932,True
gbm,86,-0.131582932,True
gbm,87,-0.131582932,True
gbm,88,-0.131582932,True
gbm,89,-0.131582932,True
gbm,90,-0.131582932,True
gbm,91,-0.131582932,True
gbm,92,-0.131582932,True
gbm,93,-0.131582932,True
gbm,94,-0.131582932,True
gbm,95,-0.131582932,True
gbm,96,-0.131582932,True
gbm,97,-0.131582932,True
gbm,98,-0.131582932,True
gbm,99,-0.131582932,True
