step,actual,forecast,absolute_error
30,0.142711149,0.14287517576673073,0.00016402676673071825
31,0.143195794,0.14371578351362496,0.0005199895136249744
32,0.143661666,0.14456463218731053,0.0009029661873105332
33,0.144109202,0.1453816514809893,0.0012724494809893128
34,0.144538835,0.14616894893846302,0.001630113938463018
35,0.144951007,0.14694543752842626,0.0019944305284262664
36,0.145346162,0.1477141592652364,0.002367997265236399
37,0.145724749,0.14849211524930825,0.002767366249308262
38,0.146087222,0.14925138234825228,0.0031641603482522873
39,0.146434041,0.15000986773179392,0.003575826731793935
40,0.146765673,0.15075452421602917,0.0039888512160291545
41,0.14708259,0.15149103191134594,0.004408441911345928
42,0.147385269,0.15223282054444845,0.004847551544448436
43,0.147674196,0.15296217682927074,0.005287980829270733
44,0.147949861,0.15368412085581373,0.005734259855813745
45,0.148212765,0.15441315872762032,0.006200393727620324
46,0.148463416,0.15514187511998734,0.006678459119987351
47,0.148702344,0.15586650492122994,0.007164160921229956
48,0.14893009,0.15658875267763092,0.007658662677630934
49,0.149147229,0.1573098529035063,0.008162623903506305
50,0.149354365,0.1580307798790475,0.008676414879047523
51,0.149552133,0.15874677500252501,0.00919464200252501
52,0.149741214,0.15946260129073175,0.009721387290731742
53,0.149922321,0.16018447240571188,0.010262151405711878
54,0.150096219,0.16090643247370776,0.010810213473707753
55,0.150263705,0.16163113991518044,0.011367434915180441
56,0.150425635,0.1623602221454333,0.0119345871454333
57,0.150582896,0.16309465989929126,0.012511763899291262
58,0.150736434,0.16383538962793506,0.01309895562793506
59,0.150887228,0.164583463774767,0.013696235774767002
60,0.15103631,0.1653305982880558,0.01429428828805579
61,0.151184744,0.1660738561650664,0.014889112165066387
62,0.151333631,0.16681388945172024,0.015480258451720241
63,0.1514841,0.16755191161561483,0.016067811615614824
64,0.151637302,0.16828840604369527,0.01665110404369527
65,0.151794403,0.16902608363979132,0.01723168063979133
66,0.151956584,0.16976294873314898,0.017806364733148977
67,0.152125039,0.17049604781235708,0.018371008812357092
68,0.152300974,0.17122793891423504,0.01892696491423504
69,0.152485606,0.17195928092592866,0.019473674925928663
70,0.152680164,0.17269042868926657,0.02001026468926656
71,0.152885892,0.17342118055000982,0.020535288550009828
72,0.153104048,0.17415191023114462,0.02104786223114463
73,0.153335902,0.17488294657498094,0.02154704457498094
74,0.153582744,0.17561344815269814,0.022030704152698144
75,0.153845886,0.17634456386344521,0.022498677863445227
76,0.154126666,0.1770759535569505,0.0229492875569505
77,0.154426437,0.17780765380312705,0.023381216803127047
78,0.154746573,0.17854054657201773,0.023793973572017735
79,0.155088392,0.1792731188229988,0.024184726822998798
80,0.155453175,0.18000615606758547,0.024552981067585467
81,0.155842017,0.18074105881865205,0.024899041818652046
82,0.156255837,0.18147678787099739,0.025220950870997377
83,0.156695315,0.18221303059619975,0.025517715596199753
84,0.157160882,0.1829497429125928,0.025788860912592804
85,0.157652737,0.18368685167408713,0.026034114674087144
86,0.158170838,0.18442422078999837,0.026253382789998364
87,0.158714924,0.18516167217098808,0.026446748170988077
88,0.15928449,0.18589687669288374,0.026612386692883738
89,0.159878798,0.18663147172641154,0.026752673726411547
90,0.160496799,0.18736575149267692,0.02686895249267693
91,0.161137185,0.18810159313183303,0.02696440813183304
92,0.161798274,0.18883759176518625,0.027039317765186255
93,0.162478133,0.1895735426609679,0.027095409660967906
94,0.163174508,0.19030946015828726,0.027134952158287262
95,0.163884971,0.19104532352311462,0.027160352523114634
96,0.164606943,0.19178117458351937,0.027174231583519365
97,0.165337775,0.19251539013582278,0.027177615135822786
98,0.1660748,0.19324952869421816,0.027174728694218164
99,0.166815333,0.19398376749619606,0.027168434496196048
100,0.167556682,0.19471812741981745,0.027161445419817437
101,0.168296141,0.19545261932482458,0.027156478324824568
102,0.16903098,0.1961872363636637,0.0271562563636637
103,0.169758445,0.19692198691630336,0.027163541916303352
104,0.170475752,0.1976568818130935,0.02718112981309348
105,0.171180081,0.1983918995220495,0.027211818522049486
106,0.171868552,0.1991271206895458,0.027258568689545792
107,0.172538221,0.1998623573435196,0.0273241363435196
108,0.173186015,0.2005976365965102,0.0274116215965102
109,0.173808798,0.20133303130607347,0.02752423330607348
