step,actual,forecast,absolute_error
30,-0.068630187,-0.06863024595852489,5.89585248955693e-08
31,-0.069780685,-0.06978281734550482,2.1323455048211093e-06
32,-0.070951744,-0.07096262660570818,1.088260570818178e-05
33,-0.072152126,-0.07218533708234795,3.3211082347953114e-05
34,-0.073385986,-0.07346705374239908,8.106774239907688e-05
35,-0.074655496,-0.07482367712894392,0.00016818112894391446
36,-0.075959212,-0.0762705128454598,0.00031130084545979986
37,-0.077294158,-0.07782211335309333,0.000527955353093329
38,-0.078639586,-0.07949140472819015,0.0008518187281901513
39,-0.079962494,-0.08128962352112383,0.0013271295211238349
40,-0.081217134,-0.08322567243842205,0.002008538438422053
41,-0.082342237,-0.08530597051010719,0.0029637335101071888
42,-0.083285565,-0.08753433807920692,0.004248773079206916
43,-0.084024956,-0.08991182422627629,0.005886868226276293
44,-0.084552286,-0.09243691653836462,0.00788463053836462
45,-0.08488645,-0.09510548259446162,0.010219032594461622
46,-0.085057727,-0.0979110105689987,0.012853283568998702
47,-0.08507445,-0.1008447536643194,0.015770303664319404
48,-0.084931035,-0.10389593824959663,0.018964903249596626
49,-0.084610926,-0.10705211542433415,0.02244118942433415
50,-0.084084655,-0.11029944903204775,0.026214794032047753
51,-0.083352059,-0.11362320050433186,0.030271141504331855
52,-0.082457651,-0.1170081641670667,0.0345505131670667
53,-0.081483172,-0.12043917758552622,0.03895600558552621
54,-0.080581424,-0.1239016370900949,0.0433202130900949
55,-0.07990186,-0.12738195385514237,0.04748009385514236
56,-0.079452875,-0.13086802975528272,0.051415154755282716
57,-0.079185364,-0.13434963277303366,0.05516426877303367
58,-0.079068058,-0.13781875806813304,0.058750700068133044
59,-0.079079555,-0.14126991745008607,0.06219036245008608
60,-0.079199331,-0.1447003644022634,0.06550103340226339
61,-0.079400051,-0.1481102713382134,0.06871022033821339
62,-0.07977513,-0.15150280909549702,0.07172767909549702
63,-0.080579412,-0.15488416650534176,0.07430475450534176
64,-0.08184474,-0.15826346900545307,0.07641872900545307
65,-0.083210256,-0.16165261428742939,0.07844235828742939
66,-0.084229078,-0.1650660268317396,0.0808369488317396
67,-0.084445704,-0.168520327910482,0.084074623910482
68,-0.0836147,-0.17203395074100852,0.08841925074100852
69,-0.082242893,-0.1756266952404943,0.09338380224049429
70,-0.080995919,-0.17931924962501752,0.09832333062501752
71,-0.079881763,-0.18313268537258218,0.10325092237258218
72,-0.078669847,-0.18708793796094556,0.10841809096094555
73,-0.077561891,-0.19120529177852508,0.11364340077852508
74,-0.076966813,-0.19550387461714244,0.11853706161714245
75,-0.076592278,-0.20000118311697734,0.12340890511697734
76,-0.075668998,-0.20471264805528536,0.12904365005528534
77,-0.073748769,-0.2096512554788197,0.1359024864788197
78,-0.070662044,-0.21482723687111907,0.14416519287111906
79,-0.066643605,-0.22024783623846425,0.15360423123846426
80,-0.062304316,-0.22591716521984323,0.16361284921984323
81,-0.058043454,-0.23183614801202168,0.1737926940120217
82,-0.053933272,-0.23800255996417613,0.18406928796417613
83,-0.049981571,-0.2444111583354617,0.1944295873354617
84,-0.046190558,-0.2510539015390528,0.20486334353905283
85,-0.042582425,-0.2579202526260851,0.21533782762608508
86,-0.039227285,-0.2649975581198408,0.22577027311984083
87,-0.036181016,-0.2722714938720493,0.2360904778720493
88,-0.033450665,-0.2797265657003131,0.24627590070031313
89,-0.031026156,-0.2873466516391149,0.25632049563911485
90,-0.028888222,-0.29511557113509496,0.26622734913509494
91,-0.027018524,-0.30301766461250357,0.2759991406125036
92,-0.02541024,-0.3110383673621585,0.2856281273621585
93,-0.024064242,-0.31916476068204913,0.2951005186820491
94,-0.022993779,-0.32738608452947,0.30439230552947
95,-0.022213397,-0.33569419673426165,0.31348079973426163
96,-0.021728986,-0.34408396523298773,0.3223549792329877
97,-0.02153221,-0.35255358197051334,0.33102137197051335
