step,actual,forecast,absolute_error
30,0.142711149,0.14350344,0.0007922934066543486
31,0.143195794,0.14559184,0.0023960461479721196
32,0.143661666,0.14980114,0.006139469063171393
33,0.144109202,0.15684655,0.012737351087234505
34,0.144538835,0.1650317,0.020492866326370235
35,0.144951007,0.17390133,0.02895032740494538
36,0.145346162,0.18353076,0.038184600791633605
37,0.145724749,0.19430822,0.04858347234017946
38,0.146087222,0.20662487,0.0605376435319214
39,0.146434041,0.22084437,0.0744103321069565
40,0.146765673,0.2373102,0.09054452792964171
41,0.14708259,0.2563366,0.10925400958839415
42,0.147385269,0.27817667,0.1307913963060913
43,0.147674196,0.3028717,0.1551975081015625
44,0.147949861,0.3293421,0.1813922360439911
45,0.148212765,0.3480475,0.19983472988830567
46,0.148463416,0.36354202,0.21507860432089235
47,0.148702344,0.38187778,0.23317543596063234
48,0.14893009,0.39629623,0.2473661429387665
49,0.149147229,0.40597606,0.2568288280526123
50,0.149354365,0.41645542,0.26710105287147523
51,0.149552133,0.42135787,0.2718057371019287
52,0.149741214,0.42735142,0.2776102011573181
53,0.149922321,0.42955613,0.279633810362915
54,0.150096219,0.427741,0.27764477211557004
55,0.150263705,0.4219224,0.27165868069259647
56,0.150425635,0.41770273,0.26727709947036743
57,0.150582896,0.41526157,0.26467867063894657
58,0.150736434,0.41404897,0.26331253574563596
59,0.150887228,0.4137606,0.26287337447421266
60,0.15103631,0.41419244,0.26315612812561034
61,0.151184744,0.41513157,0.26394682490869137
62,0.151333631,0.41637176,0.265038131752533
63,0.1514841,0.4177662,0.2662821134170532
64,0.151637302,0.41923577,0.26759846393399045
65,0.151794403,0.4207881,0.26899370630252073
66,0.151956584,0.4226064,0.2706498245960388
67,0.152125039,0.42485714,0.2727321005874024
68,0.152300974,0.42739445,0.27509347571084597
69,0.152485606,0.43060786,0.2781222493199768
70,0.152680164,0.43666202,0.2839818542991028
71,0.152885892,0.4515106,0.2986247161962585
72,0.153104048,0.47660568,0.3235016355651398
73,0.153335902,0.5291224,0.3757865102047424
74,0.153582744,0.6263056,0.47272283613916016
75,0.153845886,0.7443855,0.5905395948807373
76,0.154126666,0.8652333,0.711106636116394
77,0.154426437,0.9824513,0.828024882694519
78,0.154746573,1.1007828,0.9460361790370484
79,0.155088392,1.2160085,1.0609201519682008
80,0.155453175,1.2616725,1.1062193217956544
81,0.155842017,1.3253613,1.1695192348310548
82,0.156255837,1.3156979,1.1594420714014892
83,0.156695315,1.2708788,1.1141834768090821
84,0.157160882,1.2261136,1.0689526758155519
85,0.157652737,1.1939147,1.0362619148707275
86,0.158170838,1.1675994,1.0094286016209717
87,0.158714924,1.1499628,0.9912478588598023
88,0.15928449,1.1382136,0.9789291444909668
89,0.159878798,1.1304928,0.9706140084346313
90,0.160496799,1.1255709,0.9650740942876587
91,0.161137185,1.1226048,0.9614676619543457
92,0.161798274,1.1210073,0.9592090492650757
93,0.162478133,1.1203711,0.9578929702867431
94,0.163174508,1.1204275,0.9572529812807007
95,0.163884971,1.1210318,0.9571467901694336
96,0.164606943,1.1221867,0.9575797177666016
97,0.165337775,1.1241362,0.958798434487915
98,0.1660748,1.1275458,0.9614710335876465
99,0.166815333,1.1337166,0.9669012502519532
100,0.167556682,1.1446923,0.977135619750183
101,0.168296141,1.1636794,0.9953832203433838
102,0.16903098,1.1990211,1.0299901209979248
103,0.169758445,1.2641524,1.0943939626461792
104,0.170475752,1.3941605,1.223684757109497
105,0.171180081,1.6506112,1.479431081185669
106,0.171868552,1.9860196,1.8141510593586425
107,0.172538221,2.3561542,2.183615982414917
108,0.173186015,2.7210178,2.547831822524414
109,0.173808798,3.0830712,2.909262433842041
110,0.174403399,3.4553502,3.280946761598755
111,0.174966764,3.7403345,3.5653677468032225
112,0.175496292,3.8927908,3.7172945023725585
113,0.175989789,4.068057,3.8920672712416993
114,0.176445767,4.071901,3.8954550775739745
115,0.176863195,3.9594388,3.7825756058117674
116,0.177241544,3.8244643,3.6472227771364745
117,0.177580581,3.7125707,3.5349900862668457
118,0.17788031,3.6323314,3.454451061307373
119,0.178140964,3.5796647,3.401523743183838
120,0.178363038,3.5452437,3.366880702081787
121,0.178547442,3.5232358,3.34468835588208
122,0.178695648,3.5097835,3.3310878583934325
123,0.178809784,3.5022404,3.3234306353878176
124,0.17889276,3.4987814,3.319888682642212
125,0.178948056,3.4981823,3.31923424075293
126,0.178979676,3.4996383,3.320658643015503
127,0.178991779,3.5026994,3.323707596152588
128,0.17898856,3.5073364,3.328347818097534
129,0.178974169,3.514196,3.3352217500368653
130,0.1789527,3.5251133,3.346160644192505
131,0.178928239,3.5438204,3.3648921421645506
132,0.178904879,3.5765533,3.3976484657265624
133,0.178886736,3.6334677,3.454580938255371
134,0.178877961,3.7397392,3.560861218611206
135,0.178882758,3.951293,3.7724102336381837
136,0.178905409,4.3695173,4.19061191735498
137,0.178950419,5.2235518,5.044601331183105
138,0.179022492,6.332591,6.153568564823731
139,0.179126652,7.5595098,7.380383102180908
140,0.179267942,8.768502,8.589234293412598
141,0.179451007,9.968215,9.788763981708495
142,0.179679763,11.200811,11.021131623108399
143,0.179956808,12.155457,11.97549973496875
144,0.180283686,12.654593,12.474309781712403
145,0.180660853,13.2499895,13.06932865658252
146,0.181088347,13.255283,13.074195008712891
147,0.181566055,12.876771,12.695204918205567
148,0.182093879,12.4275,12.245405892118164
149,0.182671783,12.058749,11.876077415913574
150,0.183299299,11.791763,11.608464006664063
151,0.183975476,11.616313,11.432337504651855
152,0.184697829,11.501431,11.316733636148927
153,0.185462644,11.427776,11.242313692669923
154,0.186264657,11.382562,11.196297026654785
155,0.187097763,11.3570595,11.169961715759765
156,0.187955576,11.345287,11.157331746998047
157,0.188831701,11.343139,11.154306993763184
158,0.189719989,11.347885,11.158165142835937
159,0.190614421,11.35799,11.167375843892579
160,0.191509076,11.3733425,11.181833438038087
161,0.192398074,11.396101,11.203702923924805
162,0.193275552,11.4323635,11.239087958131837
163,0.194135708,11.494577,11.300441699836915
164,0.194972725,11.603512,11.408539085302735
165,0.195780581,11.792949,11.597168141839356
