step,actual,forecast,absolute_error
30,0.142711149,0.14271115918208938,1.0182089366095326e-08
31,0.143195794,0.14319582944144438,3.544144439038277e-08
32,0.143661666,0.1436617763324592,1.1033245919667145e-07
33,0.144109202,0.14410945299285108,2.5099285108631797e-07
34,0.144538835,0.14453933097512633,4.959751263300394e-07
35,0.144951007,0.14495187490523193,8.679052319326974e-07
36,0.145346162,0.14534754058832153,1.378588321526708e-06
37,0.145724749,0.1457267802194919,2.031219491910319e-06
38,0.146087222,0.14609000895883106,2.786958831074715e-06
39,0.146434041,0.1464376286996122,3.5876996122008453e-06
40,0.146765673,0.14676998419972154,4.3111997215239395e-06
41,0.14708259,0.14708738025594076,4.790255940745336e-06
42,0.147385269,0.14739005863236915,4.789632369134322e-06
43,0.147674196,0.14767818869426333,3.992694263321717e-06
44,0.147949861,0.1479518795815485,2.0185815485240788e-06
45,0.148212765,0.14821114791755863,1.6170824413686002e-06
46,0.148463416,0.14845594914359117,7.466856408816502e-06
47,0.148702344,0.14868614678390846,1.6197216091529132e-05
48,0.14893009,0.14890153225379454,2.8557746205443157e-05
49,0.149147229,0.1491018192638083,4.54097361916872e-05
50,0.149354365,0.14928663496313857,6.773003686141865e-05
51,0.149552133,0.1494555429934356,9.659000656439543e-05
52,0.149741214,0.14960801606490567,0.00013319793509433686
53,0.149922321,0.149743469647991,0.00017885135200898516
54,0.150096219,0.14986124310188745,0.00023497589811255493
55,0.150263705,0.14996061985081421,0.00030308514918578333
56,0.150425635,0.15004083759036496,0.0003847974096350404
57,0.150582896,0.15010108439533854,0.00048181160466145845
58,0.150736434,0.15014053484319279,0.0005958991568072169
59,0.150887228,0.15015833343739599,0.0007288945626040266
60,0.15103631,0.1501536332879433,0.000882676712056718
61,0.151184744,0.15012558993381792,0.0010591540661820942
62,0.151333631,0.15007337936043555,0.001260251639564447
63,0.1514841,0.1499962168466647,0.001487883153335312
64,0.151637302,0.14989335025214473,0.0017439517478552713
65,0.151794403,0.14976409736080004,0.002030305639199953
66,0.151956584,0.14960783123712573,0.0023487527628742733
67,0.152125039,0.14942401383194376,0.0027010251680562314
68,0.152300974,0.1492121952667595,0.0030887787332405103
69,0.152485606,0.14897202433291895,0.003513581667081045
70,0.152680164,0.148703269609267,0.00397689439073301
71,0.152885892,0.14840580606722514,0.004480085932774852
72,0.153104048,0.14807964564713588,0.00502440235286411
73,0.153335902,0.1477249173928617,0.005610984607138297
74,0.153582744,0.1473418856653546,0.006240858334645383
75,0.153845886,0.1469309436833633,0.006914942316636696
76,0.154126666,0.14649260624812271,0.007634059751877281
77,0.154426437,0.14602752172229957,0.008398915277700425
78,0.154746573,0.14553644499079696,0.009210128009203039
79,0.155088392,0.1450202540810277,0.010068137918972292
80,0.155453175,0.14447992219409808,0.010973252805901917
81,0.155842017,0.14391651868984717,0.011925498310152827
82,0.156255837,0.14333119603739425,0.01292464096260576
83,0.156695315,0.14272516602109073,0.013970148978909275
84,0.157160882,0.1420997017686743,0.015061180231325688
85,0.157652737,0.14145609885210486,0.016196638147895126
86,0.158170838,0.1407956778394463,0.01737516016055371
87,0.158714924,0.1401197503770001,0.018595173622999894
88,0.15928449,0.13942960625609346,0.019854883743906537
89,0.159878798,0.13872649824586095,0.021152299754139042
90,0.160496799,0.13801161028645298,0.022485188713547016
91,0.161137185,0.13728605797272608,0.023851127027273905
92,0.161798274,0.1365508502859416,0.025247423714058387
93,0.162478133,0.13580689000060878,0.02667124299939122
94,0.163174508,0.13505494715743394,0.02811956084256606
95,0.163884971,0.13429564576584802,0.029589325234151975
96,0.164606943,0.13352945853145054,0.031077484468549466
97,0.165337775,0.13275668058152135,0.032581094418478646
98,0.1660748,0.13197743947942484,0.03409736052057516
99,0.166815333,0.1311916705905149,0.03562366240948511
100,0.167556682,0.13039912720514532,0.03715755479485469
101,0.168296141,0.1295993738286788,0.0386967671713212
102,0.16903098,0.12879178567835647,0.04023919432164352
103,0.169758445,0.12797556450905354,0.04178288049094647
104,0.170475752,0.12714973055911047,0.04332602144088954
105,0.171180081,0.12631315089118017,0.04486693010881984
106,0.171868552,0.12546453760265072,0.046404014397349286
107,0.172538221,0.12460247310223942,0.047935747897760575
108,0.173186015,0.12372542720662166,0.049460587793378336
109,0.173808798,0.12283177129314701,0.050977026706852974
110,0.174403399,0.12191981432350332,0.052483584676496664
111,0.174966764,0.12098781168164323,0.05397895231835677
112,0.175496292,0.12003400710165386,0.055462284898346134
113,0.175989789,0.11905664943670406,0.056933139563295945
114,0.176445767,0.11805402545135663,0.05839174154864338
115,0.176863195,0.11702449204242335,0.05983870295757665
116,0.177241544,0.11596649519328013,0.06127504880671987
117,0.177580581,0.11487861200771018,0.0627019689922898
118,0.17788031,0.11375956338758236,0.06412074661241765
119,0.178140964,0.11260825173468506,0.06553271226531496
120,0.178363038,0.11142377821172499,0.06693925978827502
121,0.178547442,0.11020546483723812,0.06834197716276189
122,0.178695648,0.10895287989725011,0.0697427681027499
123,0.178809784,0.10766584337380491,0.07114394062619508
124,0.17889276,0.10634445339102401,0.072548306608976
125,0.178948056,0.10498908310089616,0.07395897289910383
126,0.178979676,0.103600395489039,0.075379280510961
127,0.178991779,0.10217934118451673,0.07681243781548326
128,0.17898856,0.10072715312945157,0.07826140687054842
129,0.178974169,0.0992453474484944,0.07972882155150558
130,0.1789527,0.09773570019152844,0.08121699980847155
131,0.178928239,0.09620024397539816,0.08272799502460183
132,0.178904879,0.09464123726502524,0.08426364173497475
133,0.178886736,0.09306114653190332,0.08582558946809667
