Model,Column,MAE,RMSE,Max_Error,Min_Error,Success_Rate,Duration_Seconds,Error,Filename
arima_statsmodels,30,0.05578186396023992,0.06694752550231294,0.12803405055158987,1.1617606124995905e-05,1.0,0.910896,,arima_statsmodels_column_30_results.csv
naive,31,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,31,0.1332784065887107,0.29511221613659605,1.136506197301681,2.4518231761527787e-05,1.0,0.90541,,arima_statsmodels_column_31_results.csv
naive,32,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,32,,,,,0.0,0.0,ARIMA forecasting failed at step 44: Forecast -0.06007304461155627 too extreme using AR(9),
naive,33,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,33,,,,,0.0,0.0,ARIMA forecasting failed at step 65: Forecast -49.68802264967807 too extreme using AR(10),
naive,34,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,34,,,,,0.0,0.0,ARIMA forecasting failed at step 30: Forecast -0.18175573183462967 too extreme using AR(9),
naive,35,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,35,0.11784324796367827,0.1372968567222028,0.2839197454205352,5.54442203245251e-06,1.0,0.90905,,arima_statsmodels_column_35_results.csv
naive,36,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,36,,,,,0.0,0.0,ARIMA forecasting failed at step 62: Forecast -0.6503900641892599 too extreme using AR(4),
naive,37,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,37,,,,,0.0,0.0,ARIMA forecasting failed at step 37: Forecast -4.810373324144546 too extreme using AR(9),
naive,38,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,38,3662.529058099385,9449.19597071509,48190.93100794679,2.0543812165318975e-08,1.0,0.901338,,arima_statsmodels_column_38_results.csv
naive,39,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,39,9643.353675836548,26014.67914972907,138664.8299310953,5.89585248955693e-08,1.0,0.908117,,arima_statsmodels_column_39_results.csv
naive,40,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,40,0.2740262058752063,0.45493264535008693,1.155332751894731,4.888245021955617e-08,1.0,0.927341,,arima_statsmodels_column_40_results.csv
