actual,forecasted,step,is_forecast
0.123263779,0.123263779,0,False
0.122842876,0.122842876,1,False
0.122364093,0.122364093,2,False
0.121823101,0.121823101,3,False
0.121216248,0.121216248,4,False
0.120540452,0.120540452,5,False
0.119793914,0.119793914,6,False
0.118975283,0.118975283,7,False
0.118084376,0.118084376,8,False
0.117121642,0.117121642,9,False
0.116088373,0.116088373,10,False
0.114986837,0.114986837,11,False
0.113819904,0.113819904,12,False
0.112591985,0.112591985,13,False
0.111308118,0.111308118,14,False
0.109975055,0.109975055,15,False
0.108600736,0.108600736,16,False
0.107194262,0.107194262,17,False
0.105766246,0.105766246,18,False
0.104327977,0.104327977,19,False
0.102891615,0.104327977,20,True
0.101469778,0.104327977,21,True
0.100075686,0.104327977,22,True
0.098722962,0.104327977,23,True
0.097426049,0.104327977,24,True
0.096200629,0.104327977,25,True
0.095062462,0.104327977,26,True
0.094025866,0.104327977,27,True
0.093104619,0.104327977,28,True
0.092307929,0.104327977,29,True
0.091642354,0.104327977,30,True
0.091111471,0.104327977,31,True
0.090715916,0.104327977,32,True
0.090455465,0.104327977,33,True
0.090329676,0.104327977,34,True
0.090338058,0.104327977,35,True
0.090480897,0.104327977,36,True
0.090758858,0.104327977,37,True
0.091171408,0.104327977,38,True
0.091717473,0.104327977,39,True
0.092392294,0.104327977,40,True
0.093186971,0.104327977,41,True
0.094089241,0.104327977,42,True
0.095081498,0.104327977,43,True
0.096144133,0.104327977,44,True
0.097256957,0.104327977,45,True
0.09839933,0.104327977,46,True
0.099550556,0.104327977,47,True
0.100689836,0.104327977,48,True
0.101795642,0.104327977,49,True
0.102845434,0.104327977,50,True
0.103818423,0.104327977,51,True
0.104696331,0.104327977,52,True
0.10546411,0.104327977,53,True
0.106113229,0.104327977,54,True
0.106638186,0.104327977,55,True
0.107037636,0.104327977,56,True
0.107312088,0.104327977,57,True
0.107461918,0.104327977,58,True
0.10748738,0.104327977,59,True
0.107388961,0.104327977,60,True
0.107167006,0.104327977,61,True
0.106825666,0.104327977,62,True
0.106372649,0.104327977,63,True
0.105820878,0.104327977,64,True
0.105189679,0.104327977,65,True
0.104502055,0.104327977,66,True
0.103785476,0.104327977,67,True
0.103066192,0.104327977,68,True
0.102359984,0.104327977,69,True
0.101683616,0.104327977,70,True
0.101078236,0.104327977,71,True
0.100599984,0.104327977,72,True
0.100344887,0.104327977,73,True
0.100429371,0.104327977,74,True
0.100915631,0.104327977,75,True
0.10183045,0.104327977,76,True
0.103094763,0.104327977,77,True
0.104543324,0.104327977,78,True
0.106091501,0.104327977,79,True
0.107746025,0.104327977,80,True
0.109509285,0.104327977,81,True
0.111355517,0.104327977,82,True
0.113307074,0.104327977,83,True
0.115459505,0.104327977,84,True
0.117915619,0.104327977,85,True
0.120770531,0.104327977,86,True
0.124056632,0.104327977,87,True
0.127688386,0.104327977,88,True
0.13155033,0.104327977,89,True
0.135533519,0.104327977,90,True
0.139552214,0.104327977,91,True
0.143581701,0.104327977,92,True
0.147613022,0.104327977,93,True
0.151626194,0.104327977,94,True
0.15558753,0.104327977,95,True
0.159431675,0.104327977,96,True
0.16306092,0.104327977,97,True
0.166297736,0.104327977,98,True
0.168990227,0.104327977,99,True
0.171202825,0.104327977,100,True
0.173078992,0.104327977,101,True
0.174739039,0.104327977,102,True
0.176279875,0.104327977,103,True
0.17772718,0.104327977,104,True
0.179077952,0.104327977,105,True
0.18033764,0.104327977,106,True
0.181483527,0.104327977,107,True
0.182371184,0.104327977,108,True
0.182823656,0.104327977,109,True
0.18272246,0.104327977,110,True
0.182020055,0.104327977,111,True
0.18084509,0.104327977,112,True
0.179368261,0.104327977,113,True
0.177672202,0.104327977,114,True
0.175801064,0.104327977,115,True
0.173773433,0.104327977,116,True
0.17159845,0.104327977,117,True
0.169288081,0.104327977,118,True
0.166855345,0.104327977,119,True
0.164314676,0.104327977,120,True
0.161683173,0.104327977,121,True
0.158982134,0.104327977,122,True
0.156235179,0.104327977,123,True
0.15346757,0.104327977,124,True
0.150706892,0.104327977,125,True
0.147983746,0.104327977,126,True
0.145326069,0.104327977,127,True
0.142758181,0.104327977,128,True
0.140292666,0.104327977,129,True
0.137930014,0.104327977,130,True
0.13566411,0.104327977,131,True
0.133485189,0.104327977,132,True
0.131426668,0.104327977,133,True
0.129546939,0.104327977,134,True
0.127762578,0.104327977,135,True
0.12601644,0.104327977,136,True
0.125322244,0.104327977,137,True
0.126891331,0.104327977,138,True
0.12986046,0.104327977,139,True
0.132759819,0.104327977,140,True
0.135311326,0.104327977,141,True
0.137629843,0.104327977,142,True
0.139743507,0.104327977,143,True
0.141627464,0.104327977,144,True
0.143142135,0.104327977,145,True
0.144546634,0.104327977,146,True
0.146690158,0.104327977,147,True
0.150178062,0.104327977,148,True
0.155237867,0.104327977,149,True
0.161275504,0.104327977,150,True
0.167174271,0.104327977,151,True
0.172796954,0.104327977,152,True
0.178527311,0.104327977,153,True
0.184310143,0.104327977,154,True
0.190017808,0.104327977,155,True
0.195943027,0.104327977,156,True
0.202037759,0.104327977,157,True
0.207262428,0.104327977,158,True
0.211023115,0.104327977,159,True
0.213666917,0.104327977,160,True
0.215820252,0.104327977,161,True
0.218193578,0.104327977,162,True
0.22090725,0.104327977,163,True
0.223719387,0.104327977,164,True
0.226693205,0.104327977,165,True
0.229934145,0.104327977,166,True
0.233248058,0.104327977,167,True
0.236107845,0.104327977,168,True
0.237504177,0.104327977,169,True
0.237367142,0.104327977,170,True
0.236898566,0.104327977,171,True
0.23662659,0.104327977,172,True
0.236402464,0.104327977,173,True
0.236195591,0.104327977,174,True
0.236012463,0.104327977,175,True
0.235680347,0.104327977,176,True
0.235341451,0.104327977,177,True
0.235897467,0.104327977,178,True
0.238016754,0.104327977,179,True
0.241830415,0.104327977,180,True
0.246407151,0.104327977,181,True
0.250308887,0.104327977,182,True
0.253747514,0.104327977,183,True
0.25737228,0.104327977,184,True
0.260691145,0.104327977,185,True
0.263460454,0.104327977,186,True
0.266362478,0.104327977,187,True
0.270313008,0.104327977,188,True
0.276153081,0.104327977,189,True
0.283430928,0.104327977,190,True
0.291115017,0.104327977,191,True
0.298754783,0.104327977,192,True
0.306256005,0.104327977,193,True
0.313798555,0.104327977,194,True
0.321426815,0.104327977,195,True
0.328994139,0.104327977,196,True
0.336435669,0.104327977,197,True
0.343730077,0.104327977,198,True
0.350812783,0.104327977,199,True
0.357634029,0.104327977,200,True
0.364192221,0.104327977,201,True
0.370494466,0.104327977,202,True
0.376546649,0.104327977,203,True
0.382347488,0.104327977,204,True
0.387886506,0.104327977,205,True
0.393139037,0.104327977,206,True
0.398081065,0.104327977,207,True
0.402696528,0.104327977,208,True
0.406992493,0.104327977,209,True
0.410995676,0.104327977,210,True
0.414745292,0.104327977,211,True
0.418282123,0.104327977,212,True
0.421639749,0.104327977,213,True
0.424846376,0.104327977,214,True
0.427925923,0.104327977,215,True
0.430899884,0.104327977,216,True
0.433787501,0.104327977,217,True
0.436605593,0.104327977,218,True
0.439367966,0.104327977,219,True
0.442085344,0.104327977,220,True
0.444764795,0.104327977,221,True
0.447409963,0.104327977,222,True
0.450020877,0.104327977,223,True
0.452594151,0.104327977,224,True
0.455123249,0.104327977,225,True
0.457598886,0.104327977,226,True
0.460009678,0.104327977,227,True
0.462342821,0.104327977,228,True
0.464584687,0.104327977,229,True
0.46672124,0.104327977,230,True
0.468738329,0.104327977,231,True
0.470622084,0.104327977,232,True
0.472359626,0.104327977,233,True
0.473939891,0.104327977,234,True
0.475354105,0.104327977,235,True
0.476596034,0.104327977,236,True
0.47766174,0.104327977,237,True
0.478549426,0.104327977,238,True
0.479259365,0.104327977,239,True
0.479793831,0.104327977,240,True
0.480157533,0.104327977,241,True
0.480357693,0.104327977,242,True
0.480404356,0.104327977,243,True
0.480310076,0.104327977,244,True
0.480089501,0.104327977,245,True
0.479758408,0.104327977,246,True
0.4793331,0.104327977,247,True
0.47882984,0.104327977,248,True
0.478264712,0.104327977,249,True
0.47765339,0.104327977,250,True
0.477010556,0.104327977,251,True
0.476349356,0.104327977,252,True
0.475680955,0.104327977,253,True
0.47501405,0.104327977,254,True
0.474354813,0.104327977,255,True
0.47370674,0.104327977,256,True
0.473070616,0.104327977,257,True
0.472444572,0.104327977,258,True
0.471824038,0.104327977,259,True
0.471202005,0.104327977,260,True
0.47056926,0.104327977,261,True
0.46991497,0.104327977,262,True
0.469227181,0.104327977,263,True
0.468493462,0.104327977,264,True
0.467701115,0.104327977,265,True
0.466837394,0.104327977,266,True
0.465889914,0.104327977,267,True
0.464847182,0.104327977,268,True
0.463699154,0.104327977,269,True
0.46243779,0.104327977,270,True
0.461057196,0.104327977,271,True
0.459553766,0.104327977,272,True
0.457926167,0.104327977,273,True
0.456175319,0.104327977,274,True
0.454304479,0.104327977,275,True
0.45231927,0.104327977,276,True
0.450227685,0.104327977,277,True
0.448039882,0.104327977,278,True
0.445767681,0.104327977,279,True
0.44342396,0.104327977,280,True
0.441022054,0.104327977,281,True
0.438575459,0.104327977,282,True
0.436097629,0.104327977,283,True
0.433601563,0.104327977,284,True
0.431099421,0.104327977,285,True
0.428601857,0.104327977,286,True
0.42611759,0.104327977,287,True
0.423653055,0.104327977,288,True
0.421212204,0.104327977,289,True
0.418796474,0.104327977,290,True
0.416404762,0.104327977,291,True
0.414033378,0.104327977,292,True
0.41167616,0.104327977,293,True
0.409324625,0.104327977,294,True
0.406968455,0.104327977,295,True
0.40459598,0.104327977,296,True
0.402194824,0.104327977,297,True
0.399752261,0.104327977,298,True
0.397255444,0.104327977,299,True
0.394691599,0.104327977,300,True
0.392048339,0.104327977,301,True
0.389313968,0.104327977,302,True
0.386477911,0.104327977,303,True
0.383530908,0.104327977,304,True
0.380465161,0.104327977,305,True
0.37727434,0.104327977,306,True
0.373953571,0.104327977,307,True
0.37049944,0.104327977,308,True
0.366909974,0.104327977,309,True
0.363184564,0.104327977,310,True
0.359323836,0.104327977,311,True
0.355329322,0.104327977,312,True
0.351203127,0.104327977,313,True
0.346947623,0.104327977,314,True
