step,forecasted,start_point,actual
0,0.4789049506898083,500,0.474381392
1,0.47835685183655224,500,0.470423246
2,0.476142767346145,500,0.466601956
3,0.4712404485483082,500,0.463008852
4,0.46701110518920363,500,0.45975594
5,0.46412713735354344,500,0.457007538
6,0.4604842757841058,500,0.454986208
7,0.45710173809883237,500,0.453813853
8,0.45224926360649226,500,0.453427541
9,0.44945997171830315,500,0.453660225
10,0.44640129483009006,500,0.4544237
11,0.4405645781435271,500,0.455715572
12,0.43545939455696037,500,0.457645184
13,0.43049514197327976,500,0.460377862
14,0.4259620853323709,500,0.463998914
15,0.42150589449435827,500,0.468397844
16,0.41697213886251006,500,0.473368681
17,0.4141373603946874,500,0.478753928
18,0.4112193376780886,500,0.484458491
19,0.4071631877078769,500,0.490404417
20,0.4037431548792487,500,0.49651794
21,0.39995686191025165,500,0.502724372
22,0.39634357785667945,500,0.508951784
23,0.39361797149861116,500,0.51513465
24,0.3915362845159229,500,0.52121547
25,0.3903836793223175,500,0.527144658
26,0.3881684489455271,500,0.532879557
27,0.3864426571499329,500,0.538383211
28,0.3840272694563115,500,0.543622836
29,0.382633334333642,500,0.548567839
30,0.38250609723778217,500,0.553187944
31,0.3836265285392811,500,0.557452698
32,0.3845082330751598,500,0.56133444
33,0.38484547236862077,500,0.564813232
34,0.3848991700793023,500,0.567879328
35,0.3857116913437591,500,0.570532611
36,0.38608779129069887,500,0.572780543
37,0.38606141979160236,500,0.574637216
38,0.38586115881869854,500,0.576125099
39,0.38588313981882505,500,0.57727829
40,0.3859032829684655,500,0.578144558
41,0.3859035109353749,500,0.578783656
42,0.38590045945820767,500,0.57926188
43,0.38590328830327403,500,0.579646706
44,0.38590633978044125,500,0.580005341
45,0.38591135828231055,500,0.580402478
46,0.38589415538212857,500,0.580895793
47,0.3858289027591483,500,0.581530814
48,0.385824572975602,500,0.582337685
49,0.3858331066573491,500,0.583331297
