step,forecasted,start_point,actual
0,0.47427532086377194,500,0.474381392
1,0.4699798161727909,500,0.470423246
2,0.46553437985369595,500,0.466601956
3,0.46095543932964134,500,0.463008852
4,0.4562443793150606,500,0.45975594
5,0.45139447931084875,500,0.457007538
6,0.44644262792983247,500,0.454986208
7,0.44137874929822535,500,0.453813853
8,0.43620306538146814,500,0.453427541
9,0.43092165542004635,500,0.453660225
10,0.42554020100900714,500,0.4544237
11,0.42006323462587153,500,0.455715572
12,0.4144939151891094,500,0.457645184
13,0.4088752290201685,500,0.460377862
14,0.4031454705274085,500,0.463998914
15,0.39732762208474937,500,0.468397844
16,0.3914210604489876,500,0.473368681
17,0.38542403078575405,500,0.478753928
18,0.37848149237136625,500,0.484458491
19,0.3703271314952175,500,0.490404417
20,0.3617311796679644,500,0.49651794
21,0.353016431196829,500,0.502724372
22,0.3441754343843084,500,0.508951784
23,0.33524156692604595,500,0.51513465
24,0.3262288975720503,500,0.52121547
25,0.31715572748241805,500,0.527144658
26,0.30803895357359556,500,0.532879557
27,0.29889251044426823,500,0.538383211
28,0.28972343328823175,500,0.543622836
29,0.28053689582378194,500,0.548567839
30,0.2713210196241144,500,0.553187944
31,0.2620906008968197,500,0.557452698
32,0.25285157454883833,500,0.56133444
33,0.243607305445031,500,0.564813232
34,0.23436203793026641,500,0.567879328
35,0.22512110563372176,500,0.570532611
36,0.2158910411238377,500,0.572780543
37,0.2066794898444353,500,0.574637216
38,0.19749503791543338,500,0.576125099
39,0.18834697309487733,500,0.57727829
40,0.17924619706997846,500,0.578144558
41,0.17020175571477378,500,0.578783656
42,0.16120064470066883,500,0.57926188
43,0.15226786151059132,500,0.579646706
44,0.14338577221554827,500,0.580005341
45,0.13458731041632685,500,0.580402478
46,0.1259094381411962,500,0.580895793
47,0.11731053230298545,500,0.581530814
48,0.10877242372524286,500,0.582337685
49,0.10029032255017577,500,0.583331297
