time-axis,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1.502416596,0.003319503,-0.030222902,-0.013493244,0.152910139,0.05696744,0.012125553,0.132301097,0.033159808,-0.005734566,0.041454977,0.030416887,-0.01016489,0.019687326,0.019541561,0.038901246,-0.01723023,-0.00725651,-0.051069005,-0.005100632,0.037167928,0.047398292,-0.000434318,-0.064954453,-0.161479767,0.065013221,-0.006309239,-0.209043955,-0.055426956,-0.084399628,-0.066265455,-0.196924671,0.000653177,-0.011627926,-0.050551769,0.093042827,-0.024820451,-0.038380431,-0.009286428,-0.024495621,-0.012548872
1.506433753,0.002533858,-0.03116561,-0.015981208,0.155432993,0.057796985,0.011502727,0.132085319,0.032201779,-0.005286686,0.041870193,0.030803368,-0.010598757,0.021193447,0.020335604,0.039312877,-0.018883753,-0.006795139,-0.051570687,-0.004097835,0.036191534,0.046781084,-0.00041651,-0.064044128,-0.162845471,0.066037056,-0.006573493,-0.207865616,-0.055935288,-0.085155047,-0.065733896,-0.196617285,0.002609856,-0.011776805,-0.050684133,0.093298016,-0.024529233,-0.036792473,-0.010814409,-0.025241559,-0.012556825
1.51045091,0.001747967,-0.032119085,-0.018452952,0.157946785,0.058598073,0.011173092,0.131924338,0.030794292,-0.004821655,0.042240788,0.031131433,-0.011044471,0.022731413,0.021077259,0.039712899,-0.020562394,-0.00630602,-0.052068216,-0.002910935,0.035259616,0.046152387,-0.000341933,-0.063057607,-0.163996054,0.066930253,-0.006789744,-0.2066298,-0.056380541,-0.085809691,-0.065176237,-0.196435503,0.004166027,-0.01202318,-0.050556576,0.09352161,-0.024210518,-0.035159607,-0.012447166,-0.026237233,-0.012531085
1.514468066,0.000961265,-0.033082804,-0.020901355,0.160450497,0.059364704,0.011127567,0.131817389,0.028932082,-0.00434029,0.042564842,0.031401413,-0.011500617,0.024301408,0.021764269,0.040101415,-0.022263806,-0.005801965,-0.052561571,-0.001542136,0.034370396,0.045512995,-0.000211294,-0.061994219,-0.164990755,0.067693812,-0.006954617,-0.205340067,-0.056767444,-0.086348201,-0.064604094,-0.196357486,0.005265968,-0.012361383,-0.050178676,0.09371277,-0.023864179,-0.033502468,-0.014185764,-0.027431839,-0.01247275
1.518485223,0.000173181,-0.034056235,-0.023318684,0.162943054,0.060090587,0.011351186,0.131727276,0.026663352,-0.003843421,0.042840219,0.031614149,-0.011965788,0.025903607,0.022394998,0.040478527,-0.023985495,-0.005296227,-0.053050732,5.66E-06,0.033521807,0.04486365,-2.74E-05,-0.060854237,-0.165903547,0.068328266,-0.007064537,-0.204000004,-0.057101711,-0.086756563,-0.064029279,-0.196349532,0.005891169,-0.012784612,-0.04956886,0.09386976,-0.023490186,-0.031834991,-0.016027385,-0.028734187,-0.012384652
1.52250238,-0.000616864,-0.035038837,-0.025697794,0.165423348,0.060769144,0.011820128,0.131640754,0.024047407,-0.003331886,0.043065613,0.031770807,-0.012438602,0.027538136,0.022968265,0.040844343,-0.025724815,-0.004802508,-0.053535681,0.001729019,0.032711566,0.044205027,0.000205657,-0.059638316,-0.166804851,0.068833832,-0.007115865,-0.20261324,-0.057389586,-0.08702332,-0.063463853,-0.196372615,0.006041768,-0.013285533,-0.048754192,0.093989975,-0.023088564,-0.030165218,-0.017968855,-0.030043824,-0.012270356
1.526519536,-0.001409452,-0.036030062,-0.028034015,0.167890217,0.061393242,0.01248907,0.131636329,0.021140931,-0.002806533,0.043242359,0.031873126,-0.012917756,0.029204992,0.023483787,0.04119897,-0.027478825,-0.004335305,-0.054016396,0.003623559,0.031937008,0.043537628,0.000481132,-0.058347588,-0.16774326,0.069210058,-0.00710497,-0.201183458,-0.057638095,-0.087143883,-0.06292024,-0.196382382,0.005749891,-0.013856252,-0.047780574,0.094068887,-0.022659419,-0.028488046,-0.02000866,-0.031260414,-0.012134353
1.530536693,-0.002205178,-0.037029348,-0.030323176,0.170342477,0.0619555,0.013304488,0.13182253,0.018000605,-0.00226822,0.04337271,0.031923067,-0.013401969,0.030904124,0.023941616,0.041542518,-0.029244455,-0.003909527,-0.05449286,0.005684492,0.031195301,0.0428619,0.00079138,-0.056983371,-0.16876029,0.069456251,-0.0070282,-0.199714388,-0.057854608,-0.087116049,-0.062411088,-0.196331864,0.005058467,-0.014488573,-0.046700964,0.094101321,-0.022202885,-0.026793668,-0.022145712,-0.032282985,-0.011981532
1.53455385,-0.003004639,-0.038036131,-0.032547615,0.172779049,0.062448769,0.014192403,0.132280225,0.014645184,-0.00171781,0.043460567,0.031922559,-0.013890085,0.03263525,0.024342725,0.041875101,-0.03101829,-0.003540846,-0.054965052,0.007905592,0.030483327,0.042178069,0.001128468,-0.055546654,-0.16986837,0.069571202,-0.006882534,-0.198209818,-0.058046596,-0.086943968,-0.061948426,-0.196171997,0.003974056,-0.015173448,-0.045575826,0.094084724,-0.021719129,-0.025066008,-0.024378972,-0.033056683,-0.011817144
1.538571006,-0.003808442,-0.039049834,-0.034682008,0.175198903,0.062865857,0.015064025,0.133080569,0.011070904,-0.001156176,0.043510889,0.031873587,-0.014381007,0.034397963,0.024688588,0.042196832,-0.032796715,-0.003245603,-0.055432954,0.01027982,0.029797788,0.041486246,0.001484232,-0.054038263,-0.171063035,0.069553356,-0.006665277,-0.196673593,-0.058221632,-0.086635118,-0.061544153,-0.195850537,0.002480167,-0.015901305,-0.044471588,0.094017891,-0.021208331,-0.02328484,-0.026707203,-0.033554438,-0.01164675
1.542588163,-0.004617201,-0.040069878,-0.036689965,0.177601155,0.06320077,0.015840846,0.134222596,0.007258664,-0.000584192,0.043528738,0.031777635,-0.014873736,0.036191666,0.024981412,0.042507828,-0.034575836,-0.003039542,-0.055896547,0.012799007,0.029135245,0.040786371,0.001850794,-0.05245862,-0.172326887,0.069401268,-0.006374286,-0.195109612,-0.058387306,-0.086202621,-0.061208595,-0.195328113,0.000545827,-0.016661941,-0.043447533,0.093902481,-0.020670682,-0.021430949,-0.029130926,-0.033763652,-0.011475489
1.54660532,-0.005431536,-0.041095671,-0.038518667,0.179985118,0.063449223,0.016462828,0.13559654,0.003173167,-2.74E-06,0.043519041,0.03163549,-0.015367399,0.038015533,0.025224284,0.042808208,-0.036351439,-0.002937524,-0.056355811,0.015453681,0.028492121,0.040078177,0.002220835,-0.050807582,-0.17362847,0.069113693,-0.006008136,-0.193521835,-0.058551216,-0.085666564,-0.060949887,-0.194585295,-0.001887219,-0.017444371,-0.042551299,0.093744033,-0.02010637,-0.01948758,-0.031653483,-0.033685998,-0.011307767
1.550622476,-0.006252077,-0.042126619,-0.040118601,0.182350199,0.063607763,0.016879745,0.137074595,-0.001228343,0.000587285,0.043486571,0.031447468,-0.015861178,0.039868611,0.025420765,0.043098094,-0.038119113,-0.002953421,-0.056810728,0.018233481,0.027864768,0.039361287,0.002587084,-0.049084823,-0.174931365,0.068689722,-0.005565673,-0.191914272,-0.058720902,-0.085050555,-0.06077509,-0.193608728,-0.004838646,-0.01823736,-0.041823914,0.093549312,-0.019515593,-0.01743999,-0.034278299,-0.033325539,-0.011147805
1.554639633,-0.007079458,-0.043162117,-0.041480373,0.184696018,0.063674985,0.017070503,0.138583196,-0.006000522,0.001184999,0.04343516,0.031212388,-0.016354419,0.041749641,0.025575436,0.043377609,-0.039874064,-0.003096781,-0.05726128,0.021125746,0.027249503,0.038635066,0.002942095,-0.047289826,-0.176196277,0.068129922,-0.005046149,-0.190290995,-0.058903366,-0.084385525,-0.060688564,-0.192390692,-0.008097133,-0.019029826,-0.041286103,0.093325809,-0.018898559,-0.015281462,-0.037005505,-0.032675549,-0.01099966
1.55865679,-0.007914322,-0.044201554,-0.042609761,0.187022278,0.063650316,0.017025611,0.140067546,-0.011205196,0.001789502,0.043368312,0.030928498,-0.016846519,0.043657238,0.02569332,0.043646879,-0.041611309,-0.0033756,-0.057707448,0.024116888,0.026642604,0.037898771,0.003278282,-0.045421973,-0.177381974,0.067435411,-0.004448994,-0.18865613,-0.059105474,-0.083705671,-0.060693602,-0.190925697,-0.011356795,-0.019810629,-0.040950834,0.093081465,-0.018255484,-0.013008045,-0.03983406,-0.031724765,-0.010867356
1.562673946,-0.00875732,-0.04524431,-0.043545195,0.189328726,0.06353382,0.016740666,0.141502504,-0.016827582,0.002399892,0.043288984,0.030592429,-0.017337021,0.045589686,0.025780047,0.043906033,-0.043325546,-0.003793356,-0.058149213,0.027189653,0.026040334,0.037151435,0.003588676,-0.043481267,-0.178453632,0.06660918,-0.003773502,-0.187013859,-0.059333092,-0.083046889,-0.06079246,-0.189215391,-0.014241906,-0.020569731,-0.040817523,0.092822392,-0.017586619,-0.010630285,-0.042761447,-0.030474496,-0.010754658
