time-axis,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1.502416596,0.118759386,0.123263779,0.083950767,0.066778548,0.074803133,0.101894859,-0.062283743,0.023330042,-0.00392761,-0.054569761,0.102729126,-0.022161068,-0.099804835,0.001529752,-0.120414706,-0.01147432,-0.140260607,-0.033302907,-0.021019534,-0.05418828,0.149654584,-0.064006661,-0.012217663,-0.019996576,-0.0419513,0.026059765,-0.268151064,0.027665242,0.073029918,0.009139655,-0.14273537,0.042087319,-0.100365125,-0.085919276,0.034312628,-0.071669699,-0.08526729,-0.042457686,-0.030357318,0.004441888
1.506433753,0.119821381,0.122842876,0.087508581,0.06856333,0.07476978,0.103066073,-0.061811561,0.025096089,-0.005222925,-0.055309776,0.102127149,-0.022798163,-0.100190804,4.86E-05,-0.121327339,-0.009590413,-0.147046902,-0.034555923,-0.022633838,-0.056711833,0.150198455,-0.063990758,-0.010243077,-0.018193958,-0.041927137,0.025572477,-0.268693745,0.026050592,0.070497294,0.011937634,-0.141055911,0.04377754,-0.101317099,-0.084526416,0.034008372,-0.069757895,-0.082976149,-0.044486762,-0.030915337,0.001584664
1.51045091,0.120869133,0.122364093,0.091626729,0.070088066,0.074734388,0.104240598,-0.061351137,0.026953162,-0.006479822,-0.056033591,0.101498755,-0.023416955,-0.100495904,-0.001421064,-0.122094288,-0.007707915,-0.153064185,-0.035825144,-0.024210138,-0.059068416,0.150730095,-0.064018809,-0.008282101,-0.016580132,-0.042154393,0.025119195,-0.269325311,0.024418479,0.06903348,0.014540697,-0.139221917,0.045368054,-0.102179227,-0.083213432,0.033680409,-0.067819363,-0.080721537,-0.046447759,-0.031561021,-0.001391587
1.514468066,0.12190217,0.121823101,0.095635431,0.071368494,0.074696874,0.10541714,-0.060901499,0.028886732,-0.007696319,-0.056739611,0.100845363,-0.02401473,-0.100716996,-0.002879039,-0.122726371,-0.005829842,-0.157970089,-0.037109662,-0.025746139,-0.061253831,0.151242099,-0.064094391,-0.006339993,-0.015184087,-0.042636632,0.024711412,-0.270048214,0.022777884,0.068464641,0.01693237,-0.137255812,0.046836458,-0.102937712,-0.082004047,0.033357698,-0.065859842,-0.078511395,-0.048339776,-0.032300524,-0.004441275
1.518485223,0.122920015,0.121216248,0.097615421,0.072421427,0.074657161,0.106594385,-0.06046135,0.030883279,-0.008870377,-0.057426209,0.100168411,-0.024589219,-0.100850575,-0.0043251,-0.123237935,-0.003959091,-0.161702129,-0.03840856,-0.027240787,-0.063266167,0.151726385,-0.064220587,-0.004422076,-0.014024629,-0.043371773,0.024361448,-0.270863817,0.021138507,0.068447255,0.019119854,-0.135189596,0.048159879,-0.103574634,-0.080917635,0.033030687,-0.063885096,-0.076340457,-0.050162685,-0.0331383,-0.00751884
1.52250238,0.123922186,0.120540452,0.096276445,0.073259255,0.074615189,0.107771006,-0.060029195,0.032930811,-0.009999861,-0.058091747,0.099469357,-0.025138442,-0.100892961,-0.005759039,-0.123643918,-0.002098474,-0.164397465,-0.039720909,-0.028693367,-0.065105444,0.152174461,-0.064400121,-0.002533756,-0.013116028,-0.044358095,0.024081015,-0.271772581,0.019510935,0.068627811,0.021116902,-0.13306867,0.049316253,-0.104069548,-0.079970029,0.032685765,-0.061900921,-0.074193083,-0.051916656,-0.034077267,-0.010580502
1.526519536,0.124908192,0.119793914,0.093074806,0.073879067,0.074570927,0.108945653,-0.059603206,0.035021353,-0.011082417,-0.058734587,0.098749682,-0.025660965,-0.100840244,-0.007180665,-0.123958328,-0.000250613,-0.16663556,-0.041045773,-0.030103216,-0.066775923,0.152577263,-0.064634976,-0.000680567,-0.012466187,-0.045601469,0.023879313,-0.272773172,0.017907807,0.068751216,0.022941494,-0.130971432,0.050286721,-0.104397533,-0.079169454,0.032322738,-0.059913115,-0.072032607,-0.053602185,-0.035117208,-0.013589319
1.530536693,0.125877538,0.118975283,0.090310764,0.074272658,0.074524358,0.11011696,-0.059181425,0.037148304,-0.012115597,-0.059353082,0.098010886,-0.026155547,-0.100688418,-0.008589794,-0.124194972,0.001581925,-0.169134761,-0.042382199,-0.031469736,-0.068283377,0.152925439,-0.064926875,0.001131871,-0.012080554,-0.047109764,0.023764717,-0.273863563,0.016342485,0.06859671,0.024613434,-0.128987865,0.051053393,-0.104532002,-0.078521392,0.031943523,-0.057927519,-0.069814335,-0.055219909,-0.036256733,-0.016510416
1.53455385,0.126829721,0.118084376,0.088592249,0.074421797,0.074475505,0.11128355,-0.058761736,0.039309878,-0.013096738,-0.05994574,0.097254491,-0.026621295,-0.100434453,-0.009986258,-0.124362469,0.003396756,-0.171997461,-0.043729225,-0.032793327,-0.069634221,0.153209058,-0.065276866,0.00289773,-0.011957288,-0.048864185,0.023741564,-0.275039133,0.014824646,0.068232611,0.02613967,-0.127195976,0.051602089,-0.104452339,-0.078022546,0.031501677,-0.055949864,-0.067472451,-0.056770859,-0.037490653,-0.019316331
1.538571006,0.127764231,0.117121642,0.087390408,0.074300817,0.074424412,0.112444026,-0.058341924,0.041506814,-0.014023007,-0.060511133,0.096482039,-0.027057517,-0.100075771,-0.011369898,-0.124466685,0.005191583,-0.17490011,-0.045085878,-0.034074871,-0.07083532,0.153417845,-0.065685636,0.004611018,-0.012090497,-0.050834562,0.023811791,-0.276293799,0.013361996,0.067932366,0.027519931,-0.125668902,0.051920505,-0.104140905,-0.077664708,0.030915267,-0.053985861,-0.064928202,-0.058256286,-0.038811546,-0.021983356
